nome,uriVella,NovoElemento,uriNiovo
plant exudates,http://aims.fao.org/aos/agrovoc/c_330819,plants,http://aims.fao.org/aos/agrovoc/c_5993
locust bean gum,http://aims.fao.org/aos/agrovoc/c_35357,locusts,http://aims.fao.org/aos/agrovoc/c_31924
locust bean gum,http://aims.fao.org/aos/agrovoc/c_35357,beans,http://aims.fao.org/aos/agrovoc/c_331566
gum resins,http://aims.fao.org/aos/agrovoc/c_3440,gums,http://aims.fao.org/aos/agrovoc/c_3441
root exudates,http://aims.fao.org/aos/agrovoc/c_25070,roots,http://aims.fao.org/aos/agrovoc/c_6651
kino gum,http://aims.fao.org/aos/agrovoc/c_330821,gums,http://aims.fao.org/aos/agrovoc/c_3441
anticaking agents,http://aims.fao.org/aos/agrovoc/c_494,agents,http://aims.fao.org/aos/agrovoc/c_49873
bulking agents,http://aims.fao.org/aos/agrovoc/c_1146,agents,http://aims.fao.org/aos/agrovoc/c_49873
enzyme preparations,http://aims.fao.org/aos/agrovoc/c_2602,enzymes,http://aims.fao.org/aos/agrovoc/c_2603
rennet substitutes,http://aims.fao.org/aos/agrovoc/c_28578,rennet,http://aims.fao.org/aos/agrovoc/c_24075
food additives,http://aims.fao.org/aos/agrovoc/c_3011,foods,http://aims.fao.org/aos/agrovoc/c_3032
salad dressings,http://aims.fao.org/aos/agrovoc/c_14029,salads,http://aims.fao.org/aos/agrovoc/c_11358
liquid smoke,http://aims.fao.org/aos/agrovoc/c_28385,liquids,http://aims.fao.org/aos/agrovoc/c_12200
liquid smoke,http://aims.fao.org/aos/agrovoc/c_28385,smokes,http://aims.fao.org/aos/agrovoc/c_7117
leavening agents,http://aims.fao.org/aos/agrovoc/c_34038,agents,http://aims.fao.org/aos/agrovoc/c_49873
baking powder,http://aims.fao.org/aos/agrovoc/c_9060,baking,http://aims.fao.org/aos/agrovoc/c_786
baking powder,http://aims.fao.org/aos/agrovoc/c_9060,powders,http://aims.fao.org/aos/agrovoc/c_2419
sodium bicarbonate,http://aims.fao.org/aos/agrovoc/c_26825,sodium,http://aims.fao.org/aos/agrovoc/c_7145
flavour enhancers,http://aims.fao.org/aos/agrovoc/c_2965,flavour,http://aims.fao.org/aos/agrovoc/c_10893
mono and diglycerides,http://aims.fao.org/aos/agrovoc/c_28469,diglycerides,http://aims.fao.org/aos/agrovoc/c_10374
feed additives,http://aims.fao.org/aos/agrovoc/c_2827,feeds,http://aims.fao.org/aos/agrovoc/c_2843
silage additives,http://aims.fao.org/aos/agrovoc/c_f782f7d9,silage,http://aims.fao.org/aos/agrovoc/c_7060
evaporation suppressants,http://aims.fao.org/aos/agrovoc/c_2740,evaporation,http://aims.fao.org/aos/agrovoc/c_2739
liming materials,http://aims.fao.org/aos/agrovoc/c_200,liming,http://aims.fao.org/aos/agrovoc/c_25206
liming materials,http://aims.fao.org/aos/agrovoc/c_200,materials,http://aims.fao.org/aos/agrovoc/c_92337
gravel mulches,http://aims.fao.org/aos/agrovoc/c_11342,gravel,http://aims.fao.org/aos/agrovoc/c_24850
plastic mulches,http://aims.fao.org/aos/agrovoc/c_13452,plastics,http://aims.fao.org/aos/agrovoc/c_5998
aluminium mulches,http://aims.fao.org/aos/agrovoc/c_207ace25,aluminium,http://aims.fao.org/aos/agrovoc/c_317
straw mulches,http://aims.fao.org/aos/agrovoc/c_7442,straw,http://aims.fao.org/aos/agrovoc/c_7441
bark mulches,http://aims.fao.org/aos/agrovoc/c_bc5f6400,bark,http://aims.fao.org/aos/agrovoc/c_820
wood chips mulches,http://aims.fao.org/aos/agrovoc/c_b6875485,wood,http://aims.fao.org/aos/agrovoc/c_8421
compost mulches,http://aims.fao.org/aos/agrovoc/c_d2c183d0,composts,http://aims.fao.org/aos/agrovoc/c_1795
leaf mulches,http://aims.fao.org/aos/agrovoc/c_20c16f0f,leaves,http://aims.fao.org/aos/agrovoc/c_4243
zinc phosphide,http://aims.fao.org/aos/agrovoc/c_8518,zinc,http://aims.fao.org/aos/agrovoc/c_8517
zinc phosphide,http://aims.fao.org/aos/agrovoc/c_8518,phosphides,http://aims.fao.org/aos/agrovoc/c_d0e1fc8d
parathion methyl,http://aims.fao.org/aos/agrovoc/c_24058,parathion,http://aims.fao.org/aos/agrovoc/c_31453
bromoxynil octanoate,http://aims.fao.org/aos/agrovoc/c_065f7b6b,bromoxynil,http://aims.fao.org/aos/agrovoc/c_31280
formetanate hydrochloride,http://aims.fao.org/aos/agrovoc/c_d7d3e5a6,formetanate,http://aims.fao.org/aos/agrovoc/c_3debdad8
hydrogen isotopes,http://aims.fao.org/aos/agrovoc/c_468b60da,hydrogen,http://aims.fao.org/aos/agrovoc/c_3724
samarium isotopes,http://aims.fao.org/aos/agrovoc/c_dbefa5cd,samarium,http://aims.fao.org/aos/agrovoc/c_94c3e3d4
oxygen isotopes,http://aims.fao.org/aos/agrovoc/c_06b489b0,oxygen,http://aims.fao.org/aos/agrovoc/c_5477
xenon isotopes,http://aims.fao.org/aos/agrovoc/c_08a7c33f,xenon,http://aims.fao.org/aos/agrovoc/c_6f56bdc7
osmium isotopes,http://aims.fao.org/aos/agrovoc/c_0b321477,osmium,http://aims.fao.org/aos/agrovoc/c_9d49077b
helium isotopes,http://aims.fao.org/aos/agrovoc/c_0c1cb469,helium,http://aims.fao.org/aos/agrovoc/c_2671b66c
caesium isotopes,http://aims.fao.org/aos/agrovoc/c_0d5bea49,caesium,http://aims.fao.org/aos/agrovoc/c_1182
europium isotopes,http://aims.fao.org/aos/agrovoc/c_d2c697d7,europium,http://aims.fao.org/aos/agrovoc/c_82e520e2
argon isotopes,http://aims.fao.org/aos/agrovoc/c_10fdd5c3,argon,http://aims.fao.org/aos/agrovoc/c_1600a988
stable isotopes,http://aims.fao.org/aos/agrovoc/c_3e21c332,stables,http://aims.fao.org/aos/agrovoc/c_7356
uranium isotopes,http://aims.fao.org/aos/agrovoc/c_1c6edfbc,uranium,http://aims.fao.org/aos/agrovoc/c_8084
carbon isotopes,http://aims.fao.org/aos/agrovoc/c_2a997294,carbon,http://aims.fao.org/aos/agrovoc/c_1301
protactinium isotopes,http://aims.fao.org/aos/agrovoc/c_367bfcb3,protactinium,http://aims.fao.org/aos/agrovoc/c_caf18afb
potassium isotopes,http://aims.fao.org/aos/agrovoc/c_d0c8cfae,potassium,http://aims.fao.org/aos/agrovoc/c_6139
rhenium isotopes,http://aims.fao.org/aos/agrovoc/c_3a6fcd62,rhenium,http://aims.fao.org/aos/agrovoc/c_bb2168e4
scandium isotopes,http://aims.fao.org/aos/agrovoc/c_dfca5328,scandium,http://aims.fao.org/aos/agrovoc/c_3f923b46
palladium isotopes,http://aims.fao.org/aos/agrovoc/c_4fb9736a,palladium,http://aims.fao.org/aos/agrovoc/c_549615fb
rubidium isotopes,http://aims.fao.org/aos/agrovoc/c_c2a4becc,rubidium,http://aims.fao.org/aos/agrovoc/c_24409
strontium isotopes,http://aims.fao.org/aos/agrovoc/c_88eab294,strontium,http://aims.fao.org/aos/agrovoc/c_7462
yttrium isotopes,http://aims.fao.org/aos/agrovoc/c_5be287a5,yttrium,http://aims.fao.org/aos/agrovoc/c_c4a8cb57
gadolinium isotopes,http://aims.fao.org/aos/agrovoc/c_5cec822b,gadolinium,http://aims.fao.org/aos/agrovoc/c_26bdd38e
ytterbium isotopes,http://aims.fao.org/aos/agrovoc/c_716a675b,ytterbium,http://aims.fao.org/aos/agrovoc/c_298357a5
lead isotopes,http://aims.fao.org/aos/agrovoc/c_67680524,lead,http://aims.fao.org/aos/agrovoc/c_4235
